SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13490424,16907833,5,Traditional Display,5,Future Ads PPV,F1D876E1-52D5-4AF6-ABC7-5A1F1B95D1BB,display_ec_futureads_display_low_drtv,23,1
13490429,16907834,15,Paid Search,53,General New,34224615-7769-4E57-A030-6F994D91C371,ppc_msn_ec_generic_generic_degree,22,1
13490433,16907836,15,Paid Search,24,Degree,D503DE4F-BCE6-44E5-A6DA-46D0AC650D2A,ppc_google_ec_degree_cna_new_loan_test,8409,1
13490434,16907837,20,Clicks,168,Clicks,F9319C4A-61B1-424A-B818-5870DE2EEAE8,post.degree.today_eddy,8680,1
13490435,16907838,15,Paid Search,44,FinancialAidV2,9C54CC13-1AFB-481A-ACBE-9F4690927406,ppc_google_ec_singlemomgrant_mpe,23,1
13490436,16907839,12,Online Partners,214,XYZ Partner,4210290D-98E1-4510-BA10-07516D379FBC,NoGre.com - XYZ,23,0
13490438,16907840,15,Paid Search,45,GradSchools,6E4C7963-190F-4F9D-BDC5-5A96F8AD686F,ppc_google_gs_psychology_sitelink_mpe,5404,1
13490438,16907841,15,Paid Search,45,GradSchools,6E4C7963-190F-4F9D-BDC5-5A96F8AD686F,ppc_google_gs_psychology_sitelink_mpe,8487,1
13490438,16907842,15,Paid Search,45,GradSchools,6E4C7963-190F-4F9D-BDC5-5A96F8AD686F,ppc_google_gs_psychology_sitelink_mpe,71,1
13490442,16907843,5,Traditional Display,74,Campus Explorer,B1FD4E83-F29B-47B9-8A00-C9941E89302A,display_emd_campusexplorer_nursing_inventorycheck,2,1
13490442,16907844,5,Traditional Display,74,Campus Explorer,B1FD4E83-F29B-47B9-8A00-C9941E89302A,display_emd_campusexplorer_nursing_inventorycheck,23,1
